[2021/03/21 02:24:43] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output_pre', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=7, model='pre', momentum=0.9, out_dir='mpgd_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2021/03/21 02:24:44] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 PGD Acc
[2021/03/21 02:25:20] - 0 	 24.4 	 	 0.0500 	 1.4683 	 0.4608 	 0.5973	 0.0000 	 0.0047
[2021/03/21 02:26:22] - 1 	 48.2 	 	 0.0500 	 1.4030 	 0.4753 	 0.6336	 3346.2839 	 0.1754
[2021/03/21 02:27:24] - 2 	 48.5 	 	 0.0500 	 1.2178 	 0.5487 	 0.6789	 3304.2114 	 0.1605
[2021/03/21 02:28:50] - 3 	 72.6 	 	 0.0500 	 1.3241 	 0.4968 	 0.6926	 2866.1160 	 0.2547
[2021/03/21 02:30:40] - 4 	 96.6 	 	 0.0500 	 1.3996 	 0.4697 	 0.6910	 2487.9658 	 0.3320
[2021/03/21 02:32:54] - 5 	 120.5 	 	 0.0500 	 1.4510 	 0.4484 	 0.7203	 2233.8723 	 0.3414
[2021/03/21 02:35:08] - 6 	 120.5 	 	 0.0500 	 1.4129 	 0.4633 	 0.7027	 2199.9521 	 0.3629
[2021/03/21 02:37:22] - 7 	 120.4 	 	 0.0500 	 1.3794 	 0.4741 	 0.7195	 2199.3962 	 0.3332
[2021/03/21 02:39:36] - 8 	 120.4 	 	 0.0500 	 1.3554 	 0.4861 	 0.7379	 2199.2886 	 0.3523
[2021/03/21 02:41:49] - 9 	 120.4 	 	 0.0500 	 1.3260 	 0.4946 	 0.7324	 2216.4839 	 0.3773
[2021/03/21 02:44:03] - 10 	 120.4 	 	 0.0500 	 1.3046 	 0.5006 	 0.7254	 2230.3552 	 0.3734
[2021/03/21 02:46:17] - 11 	 120.3 	 	 0.0500 	 1.2870 	 0.5092 	 0.7238	 2236.3604 	 0.3980
[2021/03/21 02:48:31] - 12 	 120.4 	 	 0.0500 	 1.2721 	 0.5151 	 0.7512	 2245.3862 	 0.3738
[2021/03/21 02:50:45] - 13 	 120.5 	 	 0.0500 	 1.2491 	 0.5226 	 0.7496	 2261.1057 	 0.3891
[2021/03/21 02:52:59] - 14 	 120.4 	 	 0.0500 	 1.2385 	 0.5250 	 0.7605	 2270.5393 	 0.4027
[2021/03/21 02:55:12] - 15 	 120.4 	 	 0.0500 	 1.2298 	 0.5310 	 0.7527	 2275.4658 	 0.3891
[2021/03/21 02:57:26] - 16 	 120.4 	 	 0.0500 	 1.2153 	 0.5373 	 0.7551	 2280.5757 	 0.4012
[2021/03/21 02:59:40] - 17 	 120.4 	 	 0.0500 	 1.2021 	 0.5413 	 0.7781	 2284.8179 	 0.3949
[2021/03/21 03:01:54] - 18 	 120.4 	 	 0.0500 	 1.1962 	 0.5428 	 0.7598	 2298.4656 	 0.3988
[2021/03/21 03:04:08] - 19 	 120.3 	 	 0.0500 	 1.1880 	 0.5439 	 0.7637	 2297.1230 	 0.3840
[2021/03/21 03:06:21] - 20 	 120.2 	 	 0.0500 	 1.1816 	 0.5478 	 0.7691	 2298.6882 	 0.4152
[2021/03/21 03:08:34] - 21 	 119.9 	 	 0.0500 	 1.1705 	 0.5487 	 0.7586	 2308.9473 	 0.4023
[2021/03/21 03:10:47] - 22 	 119.8 	 	 0.0500 	 1.1621 	 0.5537 	 0.7805	 2315.5271 	 0.4133
[2021/03/21 03:13:00] - 23 	 119.7 	 	 0.0500 	 1.1549 	 0.5546 	 0.7883	 2326.3184 	 0.4090
[2021/03/21 03:15:13] - 24 	 119.7 	 	 0.0050 	 1.1468 	 0.5572 	 0.7723	 2332.7297 	 0.4117
[2021/03/21 03:17:26] - 25 	 119.7 	 	 0.0050 	 0.9753 	 0.6251 	 0.8184	 2119.4941 	 0.4676
[2021/03/21 03:19:39] - 26 	 119.7 	 	 0.0050 	 0.9128 	 0.6441 	 0.8266	 2140.1140 	 0.4695
[2021/03/21 03:21:53] - 27 	 119.7 	 	 0.0050 	 0.8872 	 0.6530 	 0.8434	 2157.2693 	 0.4598
[2021/03/21 03:24:05] - 28 	 119.7 	 	 0.0050 	 0.8686 	 0.6591 	 0.8359	 2165.3630 	 0.4598
[2021/03/21 03:26:18] - 29 	 119.6 	 	 0.0050 	 0.8508 	 0.6639 	 0.8355	 2153.1411 	 0.4668
[2021/03/21 03:28:31] - 30 	 119.7 	 	 0.0050 	 0.8379 	 0.6703 	 0.8367	 2171.9651 	 0.4625
[2021/03/21 03:30:44] - 31 	 119.7 	 	 0.0050 	 0.8266 	 0.6719 	 0.8512	 2172.8074 	 0.4566
[2021/03/21 03:32:57] - 32 	 119.7 	 	 0.0050 	 0.8130 	 0.6747 	 0.8473	 2161.2354 	 0.4566
[2021/03/21 03:35:10] - 33 	 119.7 	 	 0.0050 	 0.7975 	 0.6816 	 0.8391	 2161.2368 	 0.4535
[2021/03/21 03:37:23] - 34 	 119.6 	 	 0.0050 	 0.7850 	 0.6861 	 0.8371	 2150.6560 	 0.4609
[2021/03/21 03:39:36] - 35 	 119.7 	 	 0.0050 	 0.7743 	 0.6911 	 0.8395	 2152.5398 	 0.4512
[2021/03/21 03:41:49] - 36 	 119.7 	 	 0.0050 	 0.7659 	 0.6917 	 0.8391	 2158.9275 	 0.4504
[2021/03/21 03:44:02] - 37 	 119.8 	 	 0.0050 	 0.7576 	 0.6944 	 0.8441	 2162.0444 	 0.4461
[2021/03/21 03:46:15] - 38 	 119.8 	 	 0.0050 	 0.7431 	 0.6998 	 0.8402	 2148.5015 	 0.4496
[2021/03/21 03:48:28] - 39 	 119.6 	 	 0.0005 	 0.7346 	 0.7028 	 0.8516	 2153.0474 	 0.4508
[2021/03/21 03:50:41] - 40 	 119.7 	 	 0.0005 	 0.6700 	 0.7304 	 0.8539	 1980.1583 	 0.4586
[2021/03/21 03:52:54] - 41 	 119.7 	 	 0.0005 	 0.6489 	 0.7372 	 0.8516	 1959.0365 	 0.4594
[2021/03/21 03:55:07] - 42 	 119.7 	 	 0.0005 	 0.6395 	 0.7403 	 0.8605	 1948.4750 	 0.4488
[2021/03/21 03:57:20] - 43 	 119.7 	 	 0.0005 	 0.6317 	 0.7425 	 0.8555	 1946.9961 	 0.4520
[2021/03/21 03:59:33] - 44 	 119.7 	 	 0.0005 	 0.6258 	 0.7432 	 0.8598	 1937.3347 	 0.4430
[2021/03/21 04:01:46] - 45 	 119.7 	 	 0.0005 	 0.6210 	 0.7456 	 0.8570	 1939.1218 	 0.4398
[2021/03/21 04:03:59] - 46 	 119.7 	 	 0.0005 	 0.6158 	 0.7481 	 0.8543	 1925.5793 	 0.4535
[2021/03/21 04:06:12] - 47 	 119.7 	 	 0.0005 	 0.6104 	 0.7497 	 0.8520	 1930.0289 	 0.4512
[2021/03/21 04:08:25] - 48 	 119.7 	 	 0.0005 	 0.6073 	 0.7518 	 0.8574	 1917.9792 	 0.4406
[2021/03/21 04:10:38] - 49 	 119.7 	 	 0.0005 	 0.6018 	 0.7517 	 0.8562	 1918.4937 	 0.4500
[2021/03/21 04:10:38] - Total train time: 94.8016 minutes
[2021/03/21 04:10:38] - Best checkpoint at 26, 0.46953125
[2022/09/22 12:53:03] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output_pre', gamma=1.01, init_tau=8, lr_max=0.5, lr_min=0.0, lr_schedule='multistep', max_iteration=7, model='pre', momentum=0.9, normalization='std', out_dir='mpgd_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/22 12:53:07] - Epoch 	 Seconds 	 LR 	 BP	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 PGD Acc
[2022/09/22 12:53:44] - 0	24.3	0.5000	0	2.0755	0.2334	0.3039	1934.5138	0.0965
[2022/09/22 12:54:45] - 1	48.0	0.5000	1	1.8980	0.2702	0.3242	1808.9291	0.1152
[2022/09/22 12:55:47] - 2	48.2	0.5000	1	1.7973	0.3155	0.4258	2099.4983	0.1461
[2022/09/22 12:57:12] - 3	72.0	0.5000	2	1.8167	0.3122	0.4652	1835.2456	0.1914
